,character,word_count,tribe
281,Sokka,18366,water
0,Aang,17940,air
151,Katara,14704,water
371,Zuko,9018,fire
316,Toph,5435,earth
141,Iroh,5281,fire
23,Azula,3308,fire
370,Zhao,1624,fire
144,Jet,1610,earth
295,Suki,1233,earth
127,Hakoda,1066,water
233,Pathik,1034,air
256,Roku,1017,fire
226,Ozai,965,fire
129,Hama,956,water
185,Mai,843,fire
40,Bumi,820,earth
181,Long Feng,761,earth
342,Warden,723,fire
323,Ty Lee,715,fire
236,Piandao,674,fire
27,Bato,656,water
201,Mechanist,656,earth
143,Jeong Jeong,561,fire
229,Pakku,559,water
366,Yue,538,water
160,Kuei,527,earth
50,Chong,488,fire
146,Joo Dee,471,earth
288,Sozin,456,fire
369,Zhang leader,448,
368,Zei,422,
303,Teo,374,
19,Arnook,364,
99,Fong,360,
349,Wu,343,
297,Sun Warrior chief,339,
279,Shyu,330,
102,Gan Jin leader,326,
357,Young Azula,319,
130,Haru,315,
350,Xin Fu,289,
315,Tong,289,
329,Ursa,287,
341,Wan Shi Tong,275,
361,Young Zuko,265,
149,June,253,
43,Canyon guide,252,
49,Chit Sang,245,
139,Huu,236,
325,Tyro,235,
124,Gyatso,230,
280,Smellerbee,225,
225,Oyaji,211,
135,Herbalist,210,
48,Chey,210,
169,Lao,210,
61,Dock,205,
12,Actress Katara,200,
145,Jin,200,
365,Yu,191,
118,Guard,185,
171,Li,185,
351,Xu,183,
158,Koh,183,
104,Gan Jin tribesman,180,
95,Fisherman,174,
42,Calm man,174,
249,Qin,171,
202,Meng,170,
154,Kay-fon,167,
367,Yung,163,
10,Actress Aang,159,
150,Kanna,158,
311,Tho,157,
156,King Bumi,153,
283,Song,153,
7,Actor Sokka,153,
134,Headmaster,150,
355,Yon Rha,148,
65,Due,142,
142,Jee,141,
321,Trainer,140,
240,Pirate captain,138,
307,The Boulder,136,
170,Lee,136,
60,Ding,134,
267,Senlin Village leader,134,
126,Hahn,134,
266,Sela,134,
164,Kyoshi,134,
47,Chan,134,
92,Fire Sage,130,
273,Shinu,128,
108,General Sung,127,
109,Ghashiun,127,
44,Captain,126,
312,Ticket lady,126,
162,Kwan,125,
343,Warden Poon,118,
187,Male guard,118,
39,Bully guard,117,
116,Gow,113,
282,Soldier,113,
216,Oh,111,
