,character,dialogue,word_count,abs_episode,episode_title,season,episode_number
0,Sokka,"It's not getting away from me this time.  Watch and learn, Katara. This is how you catch a fish.",19,1,The_Boy_in_the_Iceberg,1,1
1,Katara,"Sokka, look!",2,1,The_Boy_in_the_Iceberg,1,1
2,Sokka,"Sshh! Katara, you're going to scare it away.  Mmmm ... I can already smell it cookin'.",16,1,The_Boy_in_the_Iceberg,1,1
3,Katara,"But, Sokka! I caught one!",5,1,The_Boy_in_the_Iceberg,1,1
4,Katara,Hey!,1,1,The_Boy_in_the_Iceberg,1,1
5,Sokka,"Why is it that every time you play with magic water, I get soaked?",14,1,The_Boy_in_the_Iceberg,1,1
6,Katara,"It's not ""magic"", it's waterbending! And it's ...",8,1,The_Boy_in_the_Iceberg,1,1
7,Sokka,"Yeah, yeah, ""an ancient art unique to our culture"", blah, blah, blah. Look, I'm just saying  that if I had weird powers, I'd keep my weirdness to myself.",28,1,The_Boy_in_the_Iceberg,1,1
8,Katara,You're calling me weird? I'm not the one who makes muscles at myself every time I see my reflection in the water!,22,1,The_Boy_in_the_Iceberg,1,1
9,Katara,Watch out! Go left! Go left!,6,1,The_Boy_in_the_Iceberg,1,1
10,Katara,You call that left?,4,1,The_Boy_in_the_Iceberg,1,1
11,Sokka,"You don't like my steering? Well, maybe you should've  waterbended us out of the ice.",15,1,The_Boy_in_the_Iceberg,1,1
12,Katara,So it's my fault?,4,1,The_Boy_in_the_Iceberg,1,1
13,Sokka,I knew I should've left you home!  Leave it to a girl to screw things up!,16,1,The_Boy_in_the_Iceberg,1,1
14,Katara,"You are the most sexist,  immature,  nut brained ...  I'm embarrassed  to be related to you!",16,1,The_Boy_in_the_Iceberg,1,1
15,Katara,"Ever since mom died,  I've been doing all the work around camp while you've been off playing soldier!",18,1,The_Boy_in_the_Iceberg,1,1
16,Sokka,Uh ... Katara ...,4,1,The_Boy_in_the_Iceberg,1,1
17,Katara,"I even wash all the clothes! Have you ever smelled your dirty socks? Let me tell you, not pleasant!",19,1,The_Boy_in_the_Iceberg,1,1
18,Sokka,"Katara, settle down!",3,1,The_Boy_in_the_Iceberg,1,1
19,Katara,"NO! THAT’S IT!! I’m done helping you. From now on,  you’re ON YOUR OWN!",14,1,The_Boy_in_the_Iceberg,1,1
20,Sokka,"Okay, you've gone from ""weird"" to ""freakish"",  Katara.",8,1,The_Boy_in_the_Iceberg,1,1
21,Katara,You mean I did that?,5,1,The_Boy_in_the_Iceberg,1,1
22,Sokka,Yep.  Congratulations.,2,1,The_Boy_in_the_Iceberg,1,1
23,Katara,He's alive! We have to help!,6,1,The_Boy_in_the_Iceberg,1,1
24,Sokka,"Katara, get back here!  We don't know what that thing is!",11,1,The_Boy_in_the_Iceberg,1,1
25,Zuko,"Finally!  Uncle, do you realize what this means?!",8,1,The_Boy_in_the_Iceberg,1,1
26,Iroh,I won't get to finish my game?,7,1,The_Boy_in_the_Iceberg,1,1
27,Zuko,It means my search is about to come to an end.,11,1,The_Boy_in_the_Iceberg,1,1
28,Zuko,That light came from an incredibly powerful source!  It has to be him!,13,1,The_Boy_in_the_Iceberg,1,1
29,Iroh,"Or it's just the celestial lights. We've been down this road before, Prince Zuko.  I don't want you to get too excited over nothing.  Please, sit. Why don't you enjoy a cup of calming Jasmine tea?",36,1,The_Boy_in_the_Iceberg,1,1
30,Zuko,"I don't need any calming tea! I need to capture the Avatar! Helmsman, head a course for the light!",19,1,The_Boy_in_the_Iceberg,1,1
31,Sokka,Stop!,1,1,The_Boy_in_the_Iceberg,1,1
32,Katara,Stop it!,2,1,The_Boy_in_the_Iceberg,1,1
33,Aang,I need to ask you something ...,7,1,The_Boy_in_the_Iceberg,1,1
34,Katara,What?,1,1,The_Boy_in_the_Iceberg,1,1
35,Aang,Please ... come closer.,4,1,The_Boy_in_the_Iceberg,1,1
36,Katara,What is it?,3,1,The_Boy_in_the_Iceberg,1,1
37,Aang,Will you go penguin sledding with me?,7,1,The_Boy_in_the_Iceberg,1,1
38,Katara,"Uh, sure ... I-I guess.",5,1,The_Boy_in_the_Iceberg,1,1
39,Aang,What's going on here?,4,1,The_Boy_in_the_Iceberg,1,1
40,Sokka,You tell us!  How did you get in the ice? And why aren't you frozen?,15,1,The_Boy_in_the_Iceberg,1,1
41,Aang,I'm not sure.,3,1,The_Boy_in_the_Iceberg,1,1
42,Aang,"Appa! Are you all right?  Wake up, buddy.",8,1,The_Boy_in_the_Iceberg,1,1
43,Aang,"Ha, ha! You're okay!",4,1,The_Boy_in_the_Iceberg,1,1
44,Sokka,What is that thing?,4,1,The_Boy_in_the_Iceberg,1,1
45,Aang,"This is Appa, my flying bison.",6,1,The_Boy_in_the_Iceberg,1,1
46,Sokka,"Right, and this is Katara, my flying sister.",8,1,The_Boy_in_the_Iceberg,1,1
47,Aang,"Don't worry, it'll wash out.  So do you guys live around here?",12,1,The_Boy_in_the_Iceberg,1,1
48,Sokka,Don't answer that! Did you see that crazy bolt of light?! He was probably trying to signal the Fire Navy!,20,1,The_Boy_in_the_Iceberg,1,1
49,Katara,"Oh yeah, I'm sure he's a spy for the Fire Navy. You can tell by that evil look in his eye.  The paranoid one is my brother, Sokka. You never told us your name.",34,1,The_Boy_in_the_Iceberg,1,1
50,Aang,I'm A ... a-a-a-Achoo!  I'm Aang.,6,1,The_Boy_in_the_Iceberg,1,1
51,Sokka,You just sneezed ...  and flew ten feet in the air!,11,1,The_Boy_in_the_Iceberg,1,1
52,Aang,Really? It felt higher than that.,6,1,The_Boy_in_the_Iceberg,1,1
53,Katara,You're an airbender!,3,1,The_Boy_in_the_Iceberg,1,1
54,Aang,Sure am!,2,1,The_Boy_in_the_Iceberg,1,1
55,Sokka,"Giant light beams, flying bison, airbenders ...  I think I got midnight sun madness. I'm going home to where stuff makes sense.",22,1,The_Boy_in_the_Iceberg,1,1
56,Aang,"Well, if you guys are stuck, Appa and I can give you a lift.",14,1,The_Boy_in_the_Iceberg,1,1
57,Katara,We'd love a ride! Thanks!,5,1,The_Boy_in_the_Iceberg,1,1
58,Sokka,Oh no! I'm not getting on that fluffy snot monster!,10,1,The_Boy_in_the_Iceberg,1,1
59,Katara,"Are you hoping some other kind of monster will come along and give you a ride home? You know, before you freeze to death?",24,1,The_Boy_in_the_Iceberg,1,1
60,Aang,"Okay, first time flyers, hold on tight! Appa, yip-yip!",9,1,The_Boy_in_the_Iceberg,1,1
61,Aang,"Come on, Appa. Yip-yip!",4,1,The_Boy_in_the_Iceberg,1,1
62,Sokka,"Wow, that was truly amazing ...",6,1,The_Boy_in_the_Iceberg,1,1
63,Aang,Appa's just a little tired. A little rest and he'll be soaring through the sky. You'll see.,17,1,The_Boy_in_the_Iceberg,1,1
64,Katara,Why are you smiling at me like that?,8,1,The_Boy_in_the_Iceberg,1,1
65,Aang,"Oh, I was smiling?",4,1,The_Boy_in_the_Iceberg,1,1
66,Iroh,"I'm going to bed now.  Yep, a man needs his rest.  Prince Zuko, you need some sleep. Even if you're right, and the Avatar is alive, you won't find him. Your father, grandfather and great-grandfather all tried and failed.",39,1,The_Boy_in_the_Iceberg,1,1
67,Zuko,Because their honor didn't hinge on the Avatar's capture. Mine does. This coward's hundred years in hiding are over.,19,1,The_Boy_in_the_Iceberg,1,1
68,Katara,Hey.,1,1,The_Boy_in_the_Iceberg,1,1
69,Aang,Hey. What'cha thinkin' about?,4,1,The_Boy_in_the_Iceberg,1,1
70,Katara,"I guess I was wondering, your being an airbender and all, if you had any idea what happened to the Avatar?",21,1,The_Boy_in_the_Iceberg,1,1
71,Aang,"Oh, no. I didn't know him. I mean, I knew people that knew him, but I didn't. Sorry.",18,1,The_Boy_in_the_Iceberg,1,1
72,Katara,Okay. Just curious.  Good night.,5,1,The_Boy_in_the_Iceberg,1,1
73,Aang,Sleep tight.,2,1,The_Boy_in_the_Iceberg,1,1
74,Katara,"Aang? Aang! Wake up.  It's okay, we're in the village now! Come on, get ready.  Everyone's waiting to meet you.",20,1,The_Boy_in_the_Iceberg,1,1
75,Katara,"Aang, this is the entire village.  Entire village, Aang.",9,1,The_Boy_in_the_Iceberg,1,1
76,Aang,"Uh, why are they all looking at me like that? Did Appa sneeze on me?",15,1,The_Boy_in_the_Iceberg,1,1
77,Kanna,"Well, no one has seen an airbender in a hundred years. We thought they were extinct, until my granddaughter and grandson found you.",23,1,The_Boy_in_the_Iceberg,1,1
78,Aang,Extinct?,1,1,The_Boy_in_the_Iceberg,1,1
79,Katara,"Aang, this is my grandmother.",5,1,The_Boy_in_the_Iceberg,1,1
80,Kanna,Call me Gran-Gran.,3,1,The_Boy_in_the_Iceberg,1,1
81,Sokka,"What is this, a weapon? You can't stab anything with this!",11,1,The_Boy_in_the_Iceberg,1,1
82,Aang,It's not for stabbing! It's for airbending.,7,1,The_Boy_in_the_Iceberg,1,1
83,Village girl,Magic trick! Do it again!,5,1,The_Boy_in_the_Iceberg,1,1
84,Aang,"Not magic, airbending.  It lets me control the air currents around my glider and fly.",15,1,The_Boy_in_the_Iceberg,1,1
85,Sokka,"Ya know, last time I checked, humans can't fly!",9,1,The_Boy_in_the_Iceberg,1,1
86,Aang,Check again!,2,1,The_Boy_in_the_Iceberg,1,1
87,Village girl,He's flying!,2,1,The_Boy_in_the_Iceberg,1,1
88,Village girl,It's amazing!,2,1,The_Boy_in_the_Iceberg,1,1
89,Sokka,My watchtower!,2,1,The_Boy_in_the_Iceberg,1,1
90,Katara,That was amazing!,3,1,The_Boy_in_the_Iceberg,1,1
